Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
32,DeMar DeRozan,35,SAC,SF,76,76,36.1,8.2,17.1,0.477,1.1,3.4,0.328,7.1,13.7,0.514,0.51,5,5.8,0.857,0.7,3.3,3.9,4.4,0.8,0.4,1.4,2,22.4,
33,Jaylen Brown,28,BOS,SF,63,63,34.3,8.2,17.7,0.463,1.8,5.7,0.324,6.4,12.1,0.529,0.515,3.9,5.1,0.764,1.3,4.5,5.8,4.5,1.2,0.3,2.6,2.4,22.2,
34,Brandon Ingram,27,NOP,SF,18,18,33.1,8.6,18.5,0.465,2.4,6.4,0.374,6.2,12.1,0.514,0.53,2.6,3.1,0.855,0.9,4.6,5.6,5.2,0.9,0.6,3.8,2.5,22.2,
35,Jaren Jackson Jr.,25,MEM,C,74,74,29.8,8,16.4,0.488,2,5.3,0.375,6,11.1,0.541,0.548,4.2,5.4,0.781,1.2,4.4,5.6,2,1.2,1.5,2.1,3.5,22.2,
36,Norman Powell,31,LAC,SG,59,59,32.4,7.7,15.8,0.486,3,7.2,0.422,4.7,8.6,0.539,0.582,3.6,4.5,0.802,0.4,2.8,3.2,2.1,1.2,0.2,1.8,1.9,21.9,
37,Jalen Williams,23,OKC,SG,69,69,32.4,8.2,16.9,0.484,1.8,4.9,0.365,6.4,12,0.533,0.537,3.4,4.3,0.789,0.9,4.5,5.3,5.1,1.6,0.7,2.2,2.3,21.6,
38,Jamal Murray,27,DEN,PG,66,66,36.3,8,16.7,0.475,2.3,6,0.394,5.6,10.8,0.52,0.545,3.3,3.7,0.885,0.7,3.2,3.8,6.1,1.4,0.5,2.1,1.9,21.5,
39,Jalen Green,22,HOU,SG,81,81,33,7.5,17.7,0.425,2.9,8.1,0.355,4.6,9.5,0.486,0.507,3.3,4.1,0.811,0.6,4.1,4.6,3.5,0.9,0.3,2.5,1.6,21.2,
40,Kawhi Leonard,33,LAC,SF,36,36,31.5,8.3,16.8,0.493,2.1,5.1,0.407,6.2,11.7,0.53,0.554,2.6,3.2,0.819,1,4.9,5.9,3,1.6,0.5,1.9,1.5,21.2,
41,Trey Murphy III,24,NOP,SF,53,51,35,7.2,15.8,0.454,3,8.3,0.361,4.2,7.6,0.556,0.548,3.8,4.3,0.887,0.9,4.2,5.1,3.5,1.1,0.7,1.9,2.1,21.2,
42,RJ Barrett,24,TOR,SF,58,58,32.2,7.9,16.9,0.468,1.8,5.3,0.35,6.1,11.7,0.522,0.523,3.4,5.4,0.63,1.1,5.3,6.3,5.4,0.8,0.3,2.8,2.4,21.1,
43,CJ McCollum,33,NOP,PG,56,56,32.7,7.9,17.9,0.444,3.1,8.2,0.373,4.9,9.7,0.505,0.53,2.2,3.1,0.717,0.8,3,3.8,4.1,0.8,0.4,1.9,2.2,21.1,
44,Brandon Miller,22,CHO,SF,27,27,34.2,7.3,18.2,0.403,3.9,10.9,0.355,3.5,7.3,0.475,0.509,2.5,2.9,0.861,0.9,3.9,4.9,3.6,1.1,0.7,2.8,2.7,21,
45,Darius Garland,25,CLE,PG,75,75,30.7,7.4,15.7,0.472,2.8,7.1,0.401,4.6,8.6,0.53,0.562,3,3.4,0.878,0.6,2.2,2.9,6.7,1.2,0.1,2.5,1.9,20.6,
